depth_bin_min,depth_bin_max,lat_bin_min,lat_bin_max,chl,no3
0,1.03080765,14.75,15.25,0.15439369,0.42764795
0,1.03080765,15.25,15.75,0.14237155,0.3029061
0,1.03080765,15.75,16.25,0.13408515,0.18539137
0,1.03080765,16.25,16.75,0.12583348,0.1505098
0,1.03080765,16.75,17.25,0.11259539,0.11430187
0,1.03080765,17.25,17.75,0.106455766,0.06959783
0,1.03080765,17.75,18.25,0.09867869,0.027840216
0,1.03080765,18.25,18.75,0.093473926,0.034191374
0,1.03080765,18.75,19.25,0.0891384,0.039081436
0,1.03080765,19.25,19.75,0.08717999,0.034333237
0,1.03080765,19.75,20.25,0.08228526,0.008080426
0,1.03080765,20.25,20.75,0.07273802,0.000699563
0,1.03080765,20.75,21.25,0.066100076,0.000655692
0,1.03080765,21.25,21.75,0.062337868,0.000655074
0,1.03080765,21.75,22.25,0.059639297,0.00065027
0,1.03080765,22.25,22.75,0.059062596,0.000626718
0,1.03080765,22.75,23.25,0.0589201,0.00060286
0,1.03080765,23.25,23.75,0.057892475,0.000574687
0,1.03080765,23.75,24.25,0.055811927,0.000569683
0,1.03080765,24.25,24.75,0.055820476,0.000579458
0,1.03080765,24.75,25.25,0.055444393,0.000603125
0,1.03080765,25.25,25.75,0.05383174,0.000621751
0,1.03080765,25.75,26.25,0.052721083,0.000630809
0,1.03080765,26.25,26.75,0.052018423,0.000639466
0,1.03080765,26.75,27.25,0.0510672,0.000649353
0,1.03080765,27.25,27.75,0.050017707,0.000671064
0,1.03080765,27.75,28.25,0.049757812,0.000700343
0,1.03080765,28.25,28.75,0.05002764,0.000730062
0,1.03080765,28.75,29.25,0.049628343,0.000782898
0,1.03080765,29.25,29.75,0.0493411,0.000845783
0,1.03080765,29.75,30.25,0.049376994,0.000918059
0,1.03080765,30.25,30.75,0.04909684,0.001022651
0,1.03080765,30.75,31.25,0.049508,0.001133184
0,1.03080765,31.25,31.75,0.050199956,0.001243806
0,1.03080765,31.75,32.25,0.050893784,0.00136563
0,1.03080765,32.25,32.75,0.0516558,0.001448492
0,1.03080765,32.75,33.25,0.051895253,0.00155648
0,1.03080765,33.25,33.75,0.05211766,0.001666179
0,1.03080765,33.75,34.25,0.053226057,0.001796796
0,1.03080765,34.25,34.75,0.053151164,0.001915009
0,1.03080765,34.75,35.25,0.053794786,0.002041204
0,1.03080765,35.25,35.75,0.060622837,0.002459443
0,1.03080765,35.75,36.25,0.06942144,0.018289102
0,1.03080765,36.25,36.75,0.09026318,0.07069299
0,1.03080765,36.75,37.25,0.13520241,0.31958705
0,1.03080765,37.25,37.75,0.15621325,0.69410247
0,1.03080765,37.75,38.25,0.1642808,0.8610679
0,1.03080765,38.25,38.75,0.17340142,1.0299574
0,1.03080765,38.75,39.25,0.18265384,1.3013926
0,1.03080765,39.25,39.75,0.18544944,1.8193877
0,1.03080765,39.75,40.25,0.1871895,2.3380623
0,1.03080765,40.25,40.75,0.18720978,2.333602
0,1.03080765,40.75,41.25,0.18907188,2.2622736
0,1.03080765,41.25,41.75,0.19170363,2.600132
0,1.03080765,41.75,42.25,0.19685617,3.2772741
0,1.03080765,42.25,42.75,0.20300831,3.9820178
0,1.03080765,42.75,43.25,0.20879422,4.4639034
0,1.03080765,43.25,43.75,0.21355356,4.668717
0,1.03080765,43.75,44.25,0.21690086,4.816492
0,1.03080765,44.25,44.75,0.21992044,4.9560375
0,1.03080765,44.75,45.25,0.2241954,5.2862287
0,1.03080765,45.25,45.75,0.22499543,5.484595
0,1.03080765,45.75,46.25,0.23043242,5.828063
0,1.03080765,46.25,46.75,0.23885797,6.471195
0,1.03080765,46.75,47.25,0.25001955,7.1751204
0,1.03080765,47.25,47.75,0.25255445,7.498612
0,1.03080765,47.75,48.25,0.25463375,7.6241536
0,1.03080765,48.25,48.75,0.25614363,7.7444644
0,1.03080765,48.75,49.25,0.25716302,7.223111
0,1.03080765,49.25,49.75,0.2687274,6.9622235
0,1.03080765,49.75,50.25,0.25695425,7.234476
1.03080765,2.1117685,14.75,15.25,0.15439211,0.42760226
1.03080765,2.1117685,15.25,15.75,0.1423704,0.30285966
1.03080765,2.1117685,15.75,16.25,0.13408399,0.18534742
1.03080765,2.1117685,16.25,16.75,0.12583299,0.15046467
1.03080765,2.1117685,16.75,17.25,0.11259458,0.114257
1.03080765,2.1117685,17.25,17.75,0.10645518,0.0695537
1.03080765,2.1117685,17.75,18.25,0.09867725,0.027798574
1.03080765,2.1117685,18.25,18.75,0.093472324,0.034151364
1.03080765,2.1117685,18.75,19.25,0.0891366,0.039042518
1.03080765,2.1117685,19.25,19.75,0.087178245,0.034294676
1.03080765,2.1117685,19.75,20.25,0.08228372,0.008042187
1.03080765,2.1117685,20.25,20.75,0.0727368,0.000661861
1.03080765,2.1117685,20.75,21.25,0.066098586,0.00061862
1.03080765,2.1117685,21.25,21.75,0.06233648,0.000619387
1.03080765,2.1117685,21.75,22.25,0.05963787,0.000615612
1.03080765,2.1117685,22.25,22.75,0.059061114,0.000593557
1.03080765,2.1117685,22.75,23.25,0.05891876,0.00057187
1.03080765,2.1117685,23.25,23.75,0.057891276,0.000545712
1.03080765,2.1117685,23.75,24.25,0.05581071,0.000541849
1.03080765,2.1117685,24.25,24.75,0.055819232,0.000550977
1.03080765,2.1117685,24.75,25.25,0.0554431,0.000572894
1.03080765,2.1117685,25.25,25.75,0.05383048,0.00059095
1.03080765,2.1117685,25.75,26.25,0.05271986,0.000599935
1.03080765,2.1117685,26.25,26.75,0.052017108,0.000606864
1.03080765,2.1117685,26.75,27.25,0.05106594,0.000615592
1.03080765,2.1117685,27.25,27.75,0.050016392,0.000636068
1.03080765,2.1117685,27.75,28.25,0.04975629,0.000662199
1.03080765,2.1117685,28.25,28.75,0.050026085,0.000690257
1.03080765,2.1117685,28.75,29.25,0.049626734,0.000740105
1.03080765,2.1117685,29.25,29.75,0.049339317,0.000799934
1.03080765,2.1117685,29.75,30.25,0.049375016,0.000868578
1.03080765,2.1117685,30.25,30.75,0.049094684,0.000965372
1.03080765,2.1117685,30.75,31.25,0.049505025,0.001064406
1.03080765,2.1117685,31.25,31.75,0.050195396,0.001157241
1.03080765,2.1117685,31.75,32.25,0.050888218,0.001264261
1.03080765,2.1117685,32.25,32.75,0.051650506,0.001344751
1.03080765,2.1117685,32.75,33.25,0.051890153,0.001447586
1.03080765,2.1117685,33.25,33.75,0.052113038,0.001556087
1.03080765,2.1117685,33.75,34.25,0.05322218,0.001684514
1.03080765,2.1117685,34.25,34.75,0.05314734,0.001797202
1.03080765,2.1117685,34.75,35.25,0.05379008,0.001913089
1.03080765,2.1117685,35.25,35.75,0.06061587,0.002309253
1.03080765,2.1117685,35.75,36.25,0.06940905,0.018096406
1.03080765,2.1117685,36.25,36.75,0.09023989,0.07045454
1.03080765,2.1117685,36.75,37.25,0.13516763,0.31929553
1.03080765,2.1117685,37.25,37.75,0.15619124,0.6939156
1.03080765,2.1117685,37.75,38.25,0.16425776,0.8607961
